shooter,season,team,conf,class,position,FTs,FTM,FTpct,Trank,shot_team,playerCode,power
daniel ogoro,2020-21,Youngstown St,Horz,fr,G,22,11,0.5,Youngstown St.,Youngstown State,daogoro,Non-Power
david beatty,2017-18,South Carolina,SEC,fr,G,22,16,0.727272727,South Carolina,South Carolina,dabeatty,Power
david wingett,2020-21,South Dakota St,Sum,so,G,22,16,0.727272727,South Dakota St.,South Dakota State,dawingett,Non-Power
davion buster,2021-22,Lamar,WAC,sr,G,22,18,0.818181818,Lamar,Lamar,dabuster,Non-Power
denijay harris,2020-21,Southern Miss,CUSA,so,F/C,22,15,0.681818182,Southern Miss,Southern Miss,deharris,Non-Power
deniz celen,2018-19,St Francis (BKN),NEC,jr,F/C,22,12,0.545454545,St. Francis NY,St. Francis (BKN),decelen,Non-Power
derrick walker,2020-21,Nebraska,B10,jr,F,22,10,0.454545455,Nebraska,Nebraska,dewalker,Power
derryck thornton,2017-18,USC,P12,so,G,22,21,0.954545455,USC,USC,dethornton,Power
deshang weaver,2021-22,Oral Roberts,Sum,jr,F/C,22,14,0.636363636,Oral Roberts,Oral Roberts,deweaver,Non-Power
destin dunton,2018-19,Southern,SWAC,jr,G,22,14,0.636363636,Southern,Southern,dedunton,Non-Power
devin askew,2021-22,Texas,B12,so,G,22,12,0.545454545,Texas,Texas,deaskew,Power
devon baker,2021-22,Tulane,Amer,jr,G,22,17,0.772727273,Tulane,Tulane,debaker,Non-Power
devondre perry,2020-21,Temple,Amer,sr,F,22,14,0.636363636,Temple,Temple,deperry,Non-Power
dexter akanno,2021-22,Oregon State,P12,jr,G,22,14,0.636363636,Oregon St.,Oregon State,deakanno,Power
dj myers,2018-19,W Carolina,SC,fr,F/C,22,12,0.545454545,Western Carolina,Western Carolina,djmyers,Non-Power
dmauria jones,2020-21,Oral Roberts,Sum,sr,G,22,12,0.545454545,Oral Roberts,Oral Roberts,dmjones,Non-Power
dominick welch,2018-19,St Bonaventure,A10,fr,G,22,11,0.5,St. Bonaventure,St. Bonaventure,dowelch,Non-Power
donaven dorsey,2018-19,Montana,BSky,sr,F,22,14,0.636363636,Montana,Montana,dodorsey,Non-Power
dontae caldwell,2018-19,MD-E Shore,MEAC,jr,F,22,15,0.681818182,Maryland Eastern Shore,Maryland-Eastern Shore,docaldwell,Non-Power
donte houston,2021-22,UT Rio Grande,WAC,fr,F/C,22,9,0.409090909,UT Rio Grande Valley,UT Rio Grande Valley,dohouston,Non-Power
donte powers,2021-22,Sam Houston,WAC,jr,G,22,15,0.681818182,Sam Houston St.,Sam Houston State,dopowers,Non-Power
ej datcher,2017-18,Miss St,SEC,so,C,22,17,0.772727273,Mississippi St.,Mississippi State,ejdatcher,Power
eli wright,2017-18,Miss St,SEC,so,G,22,14,0.636363636,Mississippi St.,Mississippi State,elwright,Power
elijah thomas,2018-19,Saint Mary's,WCC,so,G,22,13,0.590909091,Saint Mary's,Saint Mary's,elthomas,Non-Power
elvin rodriguez,2018-19,Denver,Sum,so,G,22,17,0.772727273,Denver,Denver,elrodriguez,Non-Power
eric lee,2021-22,Alabama A&M,SWAC,fr,G,22,7,0.318181818,Alabama A&M,Alabama A&M,erlee,Non-Power
erik poulsen,2017-18,San Francisco,WCC,so,F/C,22,12,0.545454545,San Francisco,San Francisco,erpoulsen,Non-Power
ethan kilgore,2021-22,Idaho,BSky,fr,F,22,17,0.772727273,Idaho,Idaho,etkilgore,Non-Power
evan cole,2018-19,Georgia Tech,ACC,so,F,22,15,0.681818182,Georgia Tech,Georgia Tech,evcole,Power
