"Chancellor Barnard",Binghamton,AE,31,76.2,109.1,13.4,64.4,61.39,8.5,15.3,4.8,20.4,31,68,0.456,90,141,0.638,1,1,1,5.2,1.1,47.9,Sr,6-4,2,1.10649,97.9187,3.9,2019,33513,"Columbia, MD",,0.53336754,90,133,0,8,0.6767,0.0000,14,14,1.0000,,107.591,111.303,1.92049,170.371,-0.432127,-1.30915,0.877024,-2.74511,30.3636,-2.14035,-0.604765,2.2727,4.1515,6.4242,0.7273,0.5758,1.4545,7.3333,"Wing G",0.0634796
"Keon Williams","St. Francis NY",NEC,31,50.8,111.4,10.8,54.1,55.45,3.7,12.8,6.4,13.5,15,23,0.652,23,40,0.575,24,69,0.348,0.7,1.3,21.1,Sr,6-4,13,0.351179,92.4425,3.1,2019,33534,"Radcliff, KY",,1.38881767,21,28,2,12,0.7500,0.1667,3,3,1.0000,,104.065,107.72,1.53169,105.165,-1.3183,-1.22015,-0.0981552,-1.80787,20.3939,-1.87386,0.0659916,0.7879,2.1515,2.9394,0.7576,0.4545,0.1212,4.3333,"Wing G",6.27084
"Glenn Sanabria","St. Francis NY",NEC,31,78.3,96.3,23.1,45.6,47.28,2.7,8.7,16.9,14.1,50,84,0.595,78,190,0.411,58,172,0.337,1,2.5,23.2,Sr,5-11,10,0.855048,95.3245,2.9,2019,33535,"Staten Island, NY",,1.50877092,63,132,15,58,0.4773,0.2586,0,0,,,102.752,106.361,2.51068,172.491,-1.01573,-0.415967,-0.599765,-0.993295,30.7879,-0.949692,-0.0436031,0.8182,2.3030,3.1212,2.6061,1.3939,0.3636,12.2727,"Combo G",10.1416
"Jacquil Taylor",Hofstra,CAA,34,65.8,133.3,14.5,70,70.45,13.7,26.2,4.5,15.9,39,56,0.696,119,170,0.7,0,0,0,7.9,1.2,32.9,Sr,6-10,23,2.93691,119.622,3.9,2019,33566,"Chestnut Hill, MA",50.4,0.64866140,102,132,18,39,0.7727,0.4615,34,35,0.9714,,99.0522,100.52,2.64239,207.872,5.15095,2.30653,2.84442,3.29362,26.6571,2.31927,0.974345,2.8286,5.9143,8.7429,0.6857,0.5429,1.9429,8.4286,C,0
"Tre'Shawn Thurman",Nevada,MWC,34,65.8,119.7,15.7,54.4,58.53,7.2,16.8,11.3,13.2,57,72,0.792,83,133,0.624,19,72,0.264,3.4,2.5,35.1,Sr,6-8,0,2.38885,113.611,4.3,2019,33583,"Omaha, NE",,1.72728204,64,90,19,43,0.7111,0.4419,17,19,0.8947,,91.7658,90.534,3.55545,201.772,7.07041,2.82275,4.24766,5.41028,26.3235,1.86709,3.54319,1.6765,4.0882,5.7647,1.6765,1.1471,0.7941,8.2353,"Wing F",4.51068
"Cheddi Mosely","La Salle",A10,17,16.5,82.7,18.3,37.5,41.01,3.2,11.2,7.1,17,8,9,0.889,9,22,0.409,10,42,0.238,0.5,3.7,14.1,Sr,6-3,12,-0.23117,81.9067,3.5,2019,33628,"Jersey City, NJ",,0.63637771,4,7,5,15,0.5714,0.3333,0,0,,,102.595,102.897,1.10602,39.409,-2.74569,-2.701,-0.0446926,-3.34467,12.0000,-3.16859,-0.176088,0.3529,1.1176,1.4706,0.4118,0.7647,0.0588,3.2941,"Wing G",11.8788
"Dave Bell",Jacksonville,ASun,30,46,97.1,22.4,54.3,55.69,12.4,22.9,4,23,38,63,0.603,94,172,0.547,0,1,0,6.8,1.3,36.4,Jr,6-9,3,0.676632,98.0616,4.8,2019,33635,"Cleveland, OH",62.4,0.21156924,77,118,17,54,0.6525,0.3148,47,50,0.9400,,100.065,102.357,1.72942,123.747,-3.51023,-3.97839,0.468167,-2.93922,17.7188,-2.57325,-0.365963,2.0000,3.5625,5.5625,0.3438,0.4375,1.2500,7.3125,C,0.0989
"Jeremy Combs","Texas Southern",SWAC,36,78.2,112.8,24.5,60.2,60.67,12.5,18,9.1,16.5,172,292,0.589,223,364,0.613,5,19,0.263,1.8,2.6,76.2,Sr,6-7,1,3.17352,116.71,4.1,2019,33642,"Dallas, TX",,0.60869031,191,283,32,81,0.6749,0.3951,39,44,0.8864,,99.9574,104.684,2.68783,259.834,2.46385,2.57958,-0.115731,2.2815,31.6579,2.99704,-0.715538,3.7368,5.5263,9.2632,1.4737,1.5526,0.6053,17.6053,"Wing F",0.861834
"Dan Dwyer",Hofstra,CAA,34,32.7,135.3,8.6,72.2,72.27,7.7,15.8,5.9,17.9,22,32,0.688,26,36,0.722,0,0,0,4,1,88.9,Sr,6-8,30,1.06006,110.804,5.6,2019,33645,"River Forest, IL",,1.41683197,22,30,4,6,0.7333,0.6667,0,0,,,105.1,106.657,1.03535,82.2582,2.12401,1.16171,0.962291,-0.450319,13.4706,-1.10894,0.658624,0.7941,1.7941,2.5882,0.5000,0.2353,0.5000,2.1765,C,0
"Aaren Edmead","North Carolina A&T",MEAC,30,42,78.9,21.4,39.9,45.41,1,6,12.9,27.2,38,54,0.704,22,68,0.324,21,66,0.318,0.7,1.7,40.3,Sr,5-10,1,-0.608603,77.0143,3.1,2019,33654,"Deer Park, NY",,0.82695381,14,43,8,25,0.3256,0.3200,0,0,,,106.266,112.706,0.976181,75.6444,-8.07568,-5.75098,-2.32469,-8.49923,17.0312,-6.05343,-2.4458,0.1562,0.9375,1.0938,1.3438,0.5938,0.0938,4.8125,"Combo G",7.69608
