"Tyson Jolly",Iona,MAAC,33,83.8,106.2,22.2,49.9,53.18,6.5,9.5,13.6,15.1,93,133,0.699,121,259,0.467,49,131,0.374,2.5,1.2,34.1,Sr,6-4,25,2.83375,109.773,2.6,2022,44846,"Muskogee, OK",67.2,1.15149999,86,154,35,105,0.5584,0.3333,22,26,0.8462,,101.197,101.984,2.95458,178.467,1.76787,1.98148,-0.213602,1.71248,33.7576,2.34186,-0.629379,1.9394,2.8788,4.8182,2.3030,0.7273,0.8182,14.6061,"Wing G",6.66144
"AJ Wilson","South Carolina",SEC,21,24.5,108.5,13,50,52.32,11.9,11.9,6.8,17.4,12,19,0.632,23,45,0.511,3,10,0.3,7,2.3,34.5,Sr,6-7,12,0.842706,102.789,5.3,2022,44849,"Laurel, MD",,0.91659032,17,32,6,14,0.5313,0.4286,4,5,0.8000,,96.5786,91.7596,1.72692,61.9175,5.85725,0.5311,5.32615,3.11613,13.5455,-0.0869918,3.20312,1.5909,1.4545,3.0455,0.5000,0.5455,0.9091,3.1364,PF/C,1.8839
"Xavier Green",Maryland,B10,32,49,101.1,8.4,45.8,47.39,4,10.4,7.8,17.9,9,15,0.6,15,39,0.385,12,33,0.364,0.5,1.5,20.8,Sr,6-6,11,0.144228,87.5188,2.9,2022,44944,"Williamsburg, VA",15.2,1.75000000,7,11,8,28,0.6364,0.2857,1,1,1.0000,,107.819,101.181,1.78279,97.3159,1.09333,0.0225782,1.07075,-0.302492,19.7500,-1.40657,1.10408,0.6875,1.8125,2.5000,0.8750,0.5000,0.0938,2.3438,"Wing G",3.08572
"Tareq Coburn","St. John's",BE,27,24.9,99.1,17.1,53.1,54.47,2.6,5.7,6.4,18.6,15,24,0.625,15,35,0.429,24,61,0.393,2,2.2,25,Sr,6-5,10,0.567259,99.2118,4,2022,45017,"Queens, NY",,0.68424044,12,26,3,9,0.4615,0.3333,4,5,0.8000,,103.797,100.432,1.10735,53.6782,-0.0739929,0.446819,-0.520811,-0.523087,11.8889,-0.348627,-0.17446,0.2963,0.6296,0.9259,0.4815,0.4815,0.2222,4.3333,"Combo G",10.2116
"Tavian Dunn-Martin","Florida Gulf Coast",ASun,32,83.3,110.6,33.5,51,56.81,1.7,8.5,38.1,19,157,179,0.877,113,246,0.459,103,278,0.371,0.1,1.8,34.2,Sr,5-8,5,4.7413,126.414,1.6,2022,45090,"Huntington, WV",,1.62293751,78,142,38,110,0.5493,0.3455,0,0,,,108.086,110.045,2.00589,168.936,1.41546,5.1454,-3.72994,3.15679,33.6061,5.59846,-2.44167,0.4848,2.6364,3.1212,6.0000,1.1212,0.0303,21.3636,"Pure PG",14.5218
"Jakolby Long","Bethune Cookman",SWAC,26,50.3,95.9,12.5,37.4,43.68,5.8,10.9,11.2,15.4,27,35,0.771,37,96,0.385,0,3,0,0,2.6,35.4,Sr,6-4,2,-0.136892,83.6367,3.6,2022,45184,"Oklahoma City, OK",75.4,1.70014848,22,52,15,44,0.4231,0.3409,0,0,,,105.457,112.325,1.17159,97.7926,-3.59885,-2.20023,-1.39862,-4.13753,22.5926,-3.4186,-0.718931,1.1111,1.9259,3.0370,1.2593,0.9630,0.0000,4.0000,"Wing G",0.303506
"Taze Moore",Houston,Amer,36,70.4,112.8,19.2,50.6,52.09,6,12.4,17.4,15.3,32,44,0.727,106,202,0.525,44,138,0.319,2.8,3.2,12.9,Sr,6-5,4,3.17186,116.156,3.1,2022,45252,"Southhaven, MS",,1.98082252,62,89,44,113,0.6966,0.3894,21,21,1.0000,,89.3076,86.0431,4.26459,211.941,8.33569,4.01288,4.3228,7.66858,30.0278,3.452,4.21658,1.5833,3.2778,4.8611,2.8611,1.5556,0.6389,10.4444,"Wing G",7.80015
"Justin Edler-Davis","Cal St. Bakersfield",BW,25,65.4,104.4,18.5,46,48.43,8.9,22.8,4.7,11.3,23,29,0.793,57,133,0.429,24,69,0.348,0.4,2.2,14.4,Sr,6-4,10,1.49064,101.819,4.4,2022,45253,"San Diego, CA",29.8,0.61536863,19,35,38,98,0.5429,0.3878,3,5,0.6000,,101.429,103.538,2.16592,125.976,-0.746051,0.502838,-1.24889,-0.131568,25.5185,0.699466,-0.831034,2.0370,4.3704,6.4074,0.5926,0.9259,0.0741,8.5926,"Wing G",6.544
"Greg Lee","Penn St.",B10,16,27.9,95.7,19.1,44.3,46.85,8.9,21.2,6,16.3,12,16,0.75,31,64,0.484,8,33,0.242,0.7,0.7,16.5,Sr,6-9,5,1.09916,100.105,4.1,2022,45254,"Rockford, IL",,0.58823529,16,23,15,41,0.6957,0.3659,2,3,0.6667,,102.838,93.7554,2.51439,58.6011,-2.22542,-2.14388,-0.0815368,-1.09277,21.8750,-1.46654,0.373765,1.5625,3.9375,5.5000,0.6250,0.2500,0.1250,6.1250,PF/C,6.04214
"Brandon Johnson",DePaul,BE,31,83.5,100.4,17.4,45.4,49.91,6.1,15.8,4.5,15.1,88,136,0.647,83,180,0.461,24,82,0.293,0.7,1.1,51.9,Sr,6-8,35,1.72895,100.324,2.6,2022,45288,"Chicago, IL",,0.54165589,49,85,34,95,0.5765,0.3579,12,16,0.7500,,104.573,101.151,3.04023,178.084,-0.97015,-0.111232,-0.858918,-0.891338,33.5161,-0.244457,-0.64688,1.9032,4.9355,6.8387,0.8387,0.6452,0.2258,10.5161,"Wing F",4.46391
"Nick Robinson","Western Carolina",SC,29,77.8,101,25.6,46,50.33,5.4,18.9,20.3,16.7,86,112,0.768,90,199,0.452,55,176,0.313,1.2,1.8,29.9,Sr,6-6,25,2.31556,105.482,3.2,2022,45304,"Chicago, IL",40.8,1.21619974,36,76,54,123,0.4737,0.4390,2,4,0.5000,,109.773,107.213,2.32721,187.883,0.426984,0.972627,-0.545643,0.802074,33.1667,1.51696,-0.714883,1.8000,5.4667,7.2667,3.0000,1.1000,0.3333,14.7333,"Wing F",10.4257
"Grant Golden",Richmond,A10,37,68.5,105.5,27.4,53.4,55.66,4,21.9,25.1,15.3,72,102,0.706,183,325,0.563,23,82,0.28,2,0.9,25.1,Sr,6-10,33,3.13052,118.312,2.2,2022,45309,"Winchester, VA",11.0,1.51390103,129,200,54,125,0.6450,0.4320,4,4,1.0000,,101.173,98.3993,2.75807,186.658,2.98725,1.7038,1.28345,4.54953,27.5946,3.83127,0.718264,0.9189,5.1081,6.0270,2.9459,0.4324,0.5135,13.7027,PF/C,4.79063
"De'Monte Buckingham","UNC Greensboro",SC,30,72.7,115.7,20.6,59.2,61.35,6.4,19.6,8.9,17,47,60,0.783,68,129,0.527,66,153,0.431,0.8,1.7,21.3,Sr,6-4,10,3.01342,114.29,2.2,2022,45310,"Richmond, VA",59.2,0.68623872,56,89,12,40,0.6292,0.3000,4,4,1.0000,,101.751,99.7489,2.88379,163.738,3.06275,2.65915,0.403605,4.82496,30.2903,4.57804,0.246926,1.6129,4.7097,6.3226,1.1290,0.8710,0.1613,12.4516,"Wing G",10.7202
"Nick Sherod",Richmond,A10,37,37.8,94.9,21.1,45.6,46.95,1.9,12.4,4,5,15,20,0.75,20,63,0.317,56,165,0.339,0,1.7,8.8,Sr,6-4,5,0.703889,98.8191,2.2,2022,45311,"Richmond, VA",50.4,1.09988905,16,31,4,32,0.5161,0.1250,0,0,,,104.095,101.24,1.37185,90.511,-2.97134,-0.079244,-2.8921,-1.60902,15.2162,0.219453,-1.82848,0.2432,1.5946,1.8378,0.2973,0.4324,0.0000,6.0270,"Wing G",17.4687
"Perry Francois",Charlotte,CUSA,18,6.9,69.6,17.6,21.1,29.75,8.9,14.3,6,19.9,5,6,0.833,4,17,0.235,0,2,0,1.3,1.4,31.6,Sr,6-8,10,-0.310056,66.696,5.6,2022,45359,"North Miami, FL",,0.60007203,3,7,1,10,0.4286,0.1000,0,0,,,107.475,108.712,0.309796,14.6107,-9.95771,-7.5344,-2.42331,-10.9941,4.7778,-8.25154,-2.74255,0.3333,0.5556,0.8889,0.1667,0.1111,0.0556,0.7222,"Wing F",1.40906
"Randy Miller Jr.","North Carolina Central",MEAC,26,70.8,93.4,20.7,41.1,48.25,2.2,6.5,8.6,18.9,85,110,0.773,54,145,0.372,30,96,0.313,0.3,1.1,45.6,Sr,6-2,44,0.795769,93.2024,2.2,2022,45477,"Odenton, MD",,0.64407386,31,71,22,73,0.4366,0.3014,0,0,,,106.963,112.937,1.47445,110.142,-5.90796,-2.23716,-3.6708,-4.70179,28.6000,-1.61097,-3.09082,0.5333,1.5667,2.1000,1.2667,0.6333,0.0667,11.1333,"Combo G",6.96723
"Nolan Taylor","Southeast Missouri St.",OVC,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,6-7,31,-0.318763,-6.46468,0,2022,45530,"Keller, TX",,,,,,,,,,,,,117.891,127.796,-0.00138184,0.102769,-5.4557,-2.93499,-2.52071,-6.74908,1.0000,-2.93331,-3.81577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,PF/C,0
"Scott Spencer",Tulane,Amer,22,18.6,80.8,14.1,38.4,39.51,2.7,12.1,2.5,9.5,2,2,1,5,15,0.333,11,41,0.268,2.3,2.1,3.6,Sr,6-6,22,-0.326516,75.7939,3.1,2022,45562,"Suffolk, VA",63.4,0.60008798,3,4,2,11,0.7500,0.1818,0,0,,,103.336,101.847,0.868698,39.834,-2.12405,-1.73725,-0.386795,-2.88476,9.9091,-2.45104,-0.433726,0.2273,1.0909,1.3182,0.1364,0.3636,0.1818,2.0455,"Stretch 4",10.8621
"Algevon Eichelberger","Cleveland St.",Horz,1,0.2,0,29.2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,62.9,0,0,Sr,6-8,12,-0.61707,-3.51713,0,2022,45568,"Saginaw, MI",29.4,0.00000000,,,,,,,,,,,87.6308,90.4496,0.256421,0.586745,0.535949,-33.6952,34.2311,-8.72035,2.0000,-16.4949,7.77459,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,C,0
"Eron Gordon",Valparaiso,MVC,30,47.5,86.6,12.5,44.4,48.8,1.1,17.8,9.3,24.1,19,24,0.792,20,44,0.455,13,45,0.289,1.9,1.6,27,Sr,6-3,10,-0.541002,77.1922,2,2022,45571,"Indianapolis, IN",68.8,1.20000000,18,31,2,13,0.5806,0.1538,1,1,1.0000,,105.204,104.403,1.51602,101.618,-2.59704,-3.05705,0.46001,-2.94426,19.4375,-2.88425,-0.0600178,0.1875,2.9062,3.0938,1.1250,0.5000,0.3438,3.1562,"Wing G",4.6792
"Mitch Lightfoot",Kansas,B12,40,30.2,113.7,17.8,66.5,64.83,10.4,15.4,5.6,20.6,23,44,0.523,79,119,0.664,1,2,0.5,7.2,1.2,36.4,Sr,6-8,44,1.41664,119.175,7.2,2022,45620,"Gilbert, AZ",77.0,0.48387098,51,69,28,50,0.7391,0.5600,15,16,0.9375,,94.0834,88.8896,1.61507,102.442,7.85097,2.8706,4.98037,4.31635,12.2000,0.69664,3.61971,1.0500,1.7500,2.8000,0.3750,0.2500,0.8500,4.6000,C,0.236054
"Nate Johnson",Xavier,BE,32,61.8,106.4,17.2,52.6,55.49,1.1,9.2,8.1,14.1,48,62,0.774,37,83,0.446,69,184,0.375,1.5,1.6,23.2,Sr,6-4,10,2.12696,107.204,2.3,2022,45625,"Miami, FL",,1.02635785,18,35,19,48,0.5143,0.3958,3,4,0.7500,,102.834,98.9723,2.77258,145.127,2.42576,2.50033,-0.0745684,2.34946,28.2188,1.79728,0.552175,0.2812,2.3125,2.5938,1.2188,0.7812,0.4062,10.2812,"Combo G",11.8039
